time_ms,bpm,steps,distance
6134.0,0.0,0,0.0
6215.0,0.0,0,0.0
6268.0,0.0,0,0.0
6321.0,0.0,0,0.0
6374.0,0.0,0,0.0
6457.0,0.0,0,0.0
6510.0,0.0,0,0.0
6563.0,0.0,0,0.0
6657.0,0.0,0,0.0
6735.0,0.0,0,0.0
6817.0,0.0,0,0.0
6870.0,0.0,1,0.0
6977.0,0.0,1,0.0
7030.0,0.0,1,0.0
7083.0,0.0,1,0.0
7176.0,0.0,1,0.0
7229.0,0.0,1,0.0
7282.0,0.0,2,0.0
7335.0,0.0,2,0.0
7416.0,0.0,2,0.0
7469.0,0.0,2,0.0
7522.0,0.0,2,0.0
7575.0,0.0,2,0.0
7656.0,0.0,2,0.0
7709.0,0.0,2,0.0
7762.0,0.0,3,0.0
7815.0,0.0,3,0.0
7896.0,0.0,3,0.0
7949.0,0.0,3,0.0
8002.0,0.0,3,0.0
8055.0,0.0,3,0.0
8136.0,0.0,4,0.0
8189.0,0.0,4,0.0
8242.0,0.0,4,0.0
8295.0,0.0,4,0.0
8378.0,0.0,4,0.0
8431.0,0.0,4,0.0
8484.0,0.0,4,0.0
8578.0,0.0,4,0.0
8656.0,0.0,5,0.0
8738.0,0.0,5,0.0
8791.0,0.0,5,0.0
8898.0,0.0,5,0.0
8951.0,0.0,5,0.0
9004.0,0.0,6,0.0
9097.0,0.0,6,0.0
9150.0,0.0,6,0.0
9203.0,0.0,6,0.0
9256.0,0.0,6,0.0
9337.0,0.0,6,0.0
9390.0,0.0,6,0.0
9443.0,0.0,7,0.01
9496.0,0.0,7,0.01
9577.0,0.0,7,0.01
9630.0,0.0,7,0.01
9683.0,0.0,7,0.01
9736.0,0.0,7,0.01
9817.0,0.0,8,0.01
9870.0,0.0,8,0.01
9923.0,0.0,8,0.01
9976.0,0.0,8,0.01
10057.0,0.0,8,0.01
10110.0,0.0,8,0.01
10163.0,0.0,9,0.01
10216.0,0.0,9,0.01
10299.0,0.0,9,0.01
10352.0,0.0,9,0.01
10405.0,0.0,9,0.01
10499.0,0.0,9,0.01
10577.0,0.0,9,0.01
10659.0,0.0,10,0.01
10712.0,0.0,10,0.01
10819.0,0.0,10,0.01
10872.0,0.0,10,0.01
10925.0,0.0,10,0.01
11018.0,0.0,11,0.01
11071.0,0.0,11,0.01
11124.0,0.0,11,0.01
11177.0,0.0,11,0.01
11258.0,41.0,11,0.01
11311.0,41.0,12,0.01
11364.0,41.0,12,0.01
11417.0,41.0,12,0.01
11498.0,41.0,12,0.01
11551.0,41.0,12,0.01
11604.0,41.0,12,0.01
11657.0,41.0,12,0.01
11738.0,41.0,13,0.01
11791.0,41.0,13,0.01
11844.0,41.0,13,0.01
11897.0,41.0,13,0.01
11980.0,41.0,13,0.01
12033.0,41.0,13,0.01
12086.0,41.0,13,0.01
12180.0,41.0,13,0.01
12258.0,41.0,13,0.01
12340.0,41.0,13,0.01
12393.0,41.0,14,0.01
12500.0,41.0,14,0.01
12553.0,41.0,14,0.01
12606.0,41.0,14,0.01
12699.0,41.0,14,0.01
12752.0,41.0,14,0.01
12805.0,41.0,15,0.01
12858.0,41.0,15,0.01
12939.0,41.0,15,0.01
12992.0,41.0,15,0.01
13045.0,41.0,15,0.01
13098.0,41.0,15,0.01
13179.0,41.0,15,0.01
13232.0,41.0,16,0.01
13285.0,41.0,16,0.01
13338.0,41.0,16,0.01
13419.0,41.0,16,0.01
13472.0,41.0,16,0.01
13525.0,41.0,16,0.01
13578.0,41.0,17,0.01
13661.0,41.0,17,0.01
13714.0,41.0,17,0.01
13767.0,41.0,17,0.01
13861.0,41.0,17,0.01
13939.0,41.0,18,0.01
14021.0,41.0,18,0.01
14074.0,61.49,18,0.01
14181.0,61.49,18,0.01
14234.0,61.49,18,0.01
14287.0,61.49,19,0.01
14380.0,61.49,19,0.01
14433.0,61.49,19,0.01
14486.0,61.49,19,0.01
14539.0,61.49,19,0.01
14620.0,61.49,20,0.01
14673.0,73.09,20,0.01
14726.0,73.09,20,0.01
14779.0,73.09,20,0.01
14860.0,73.09,20,0.01
14913.0,73.09,20,0.01
14966.0,73.09,20,0.01
15019.0,73.09,20,0.01
15102.0,73.09,21,0.02
15155.0,73.09,21,0.02
15208.0,73.09,21,0.02
15302.0,73.09,21,0.02
15380.0,73.09,21,0.02
15462.0,73.09,21,0.02
15515.0,73.09,21,0.02
15622.0,73.09,21,0.02
15675.0,73.09,22,0.02
15728.0,73.09,22,0.02
15821.0,73.09,22,0.02
15874.0,73.09,22,0.02
15927.0,73.09,22,0.02
15980.0,73.09,22,0.02
16061.0,73.09,23,0.02
16114.0,73.09,23,0.02
16167.0,73.09,23,0.02
16220.0,73.09,23,0.02
16301.0,73.09,23,0.02
16354.0,73.09,23,0.02
16407.0,73.09,23,0.02
16460.0,73.09,24,0.02
16541.0,73.09,24,0.02
16594.0,73.09,24,0.02
16647.0,103.19,24,0.02
16700.0,103.19,24,0.02
16783.0,103.19,24,0.02
16836.0,103.19,25,0.02
16889.0,103.19,25,0.02
16983.0,125.8,25,0.02
17061.0,125.8,25,0.02
17143.0,125.8,25,0.02
17196.0,125.8,25,0.02
17303.0,125.8,25,0.02
17356.0,125.8,25,0.02
17409.0,125.8,26,0.02
17502.0,125.8,26,0.02
17555.0,125.8,26,0.02
17608.0,125.8,26,0.02
17661.0,125.8,26,0.02
17742.0,125.8,27,0.02
17795.0,125.8,27,0.02
17848.0,140.09,27,0.02
17901.0,140.09,27,0.02
17982.0,140.09,27,0.02
18035.0,140.09,27,0.02
18088.0,140.09,27,0.02
18141.0,140.09,28,0.02
18224.0,140.09,28,0.02
18277.0,140.09,28,0.02
18330.0,140.09,28,0.02
18424.0,140.09,28,0.02
18502.0,140.09,29,0.02
18584.0,140.09,29,0.02
18637.0,140.09,29,0.02
18744.0,141.54,29,0.02
18797.0,141.54,29,0.02
18850.0,141.54,30,0.02
18943.0,141.54,30,0.02
18996.0,141.54,30,0.02
19049.0,141.54,30,0.02
19102.0,149.36,30,0.02
19183.0,149.36,31,0.02
19236.0,149.36,31,0.02
19289.0,149.36,31,0.02
19342.0,149.36,31,0.02
19423.0,149.36,31,0.02
19476.0,149.36,31,0.02
19529.0,149.36,32,0.02
19582.0,149.36,32,0.02
19663.0,149.36,32,0.02
19716.0,149.36,32,0.02
19769.0,149.36,32,0.02
19822.0,149.36,32,0.02
19905.0,149.36,33,0.02
19958.0,149.36,33,0.02
20011.0,149.36,33,0.02
20105.0,149.36,33,0.02
20183.0,149.36,33,0.02
20265.0,154.55,34,0.03
20318.0,154.55,34,0.03
20425.0,154.55,34,0.03
20478.0,154.55,34,0.03
20531.0,154.55,34,0.03
20624.0,154.55,35,0.03
20677.0,154.55,35,0.03
20730.0,154.55,35,0.03
20783.0,154.55,35,0.03
20864.0,138.23,35,0.03
20917.0,138.23,36,0.03
20970.0,138.23,36,0.03
21023.0,138.23,36,0.03
21104.0,138.23,36,0.03
21157.0,138.23,36,0.03
21210.0,138.23,36,0.03
21263.0,138.23,37,0.03
21344.0,138.23,37,0.03
21397.0,138.23,37,0.03
21450.0,138.23,37,0.03
21503.0,138.23,37,0.03
21586.0,138.23,37,0.03
21639.0,138.23,37,0.03
21692.0,138.23,37,0.03
21786.0,138.23,38,0.03
21864.0,138.23,38,0.03
21946.0,138.23,38,0.03
21999.0,138.23,38,0.03
22106.0,138.23,38,0.03
22159.0,138.23,38,0.03
22212.0,138.23,38,0.03
22305.0,138.23,39,0.03
22358.0,138.23,39,0.03
22411.0,138.23,39,0.03
22464.0,138.23,39,0.03
22545.0,138.23,39,0.03
22598.0,138.23,40,0.03
22651.0,138.23,40,0.03
22704.0,138.23,40,0.03
22785.0,138.23,40,0.03
22838.0,138.23,40,0.03
22891.0,138.23,40,0.03
22944.0,138.23,41,0.03
23025.0,138.23,41,0.03
23078.0,138.23,41,0.03
23131.0,138.23,41,0.03
23184.0,138.23,41,0.03
23267.0,138.23,42,0.03
23320.0,138.23,42,0.03
23373.0,138.23,42,0.03
23467.0,138.23,42,0.03
23545.0,138.23,42,0.03
23627.0,138.23,43,0.03
23680.0,138.23,43,0.03
23787.0,138.23,43,0.03
23840.0,138.23,43,0.03
23893.0,138.23,43,0.03
23986.0,138.23,44,0.03
24039.0,138.23,44,0.03
24092.0,138.23,44,0.03
24145.0,138.23,44,0.03
24226.0,138.23,44,0.03
24279.0,138.23,45,0.03
24332.0,122.3,45,0.03
24385.0,122.3,45,0.03
24466.0,122.3,45,0.03
24519.0,122.3,45,0.03
24572.0,122.3,45,0.03
24625.0,122.3,45,0.03
24708.0,133.48,46,0.03
24761.0,133.48,46,0.03
24814.0,133.48,46,0.03
24908.0,133.48,46,0.03
24986.0,133.48,46,0.03
25068.0,133.48,46,0.03
25121.0,133.48,47,0.04
25228.0,133.48,47,0.04
25281.0,133.48,47,0.04
25334.0,133.48,47,0.04
25427.0,122.8,47,0.04
25480.0,122.8,48,0.04
25533.0,122.8,48,0.04
25586.0,122.8,48,0.04
25667.0,122.8,48,0.04
25720.0,122.8,48,0.04
25773.0,122.8,48,0.04
25826.0,122.8,49,0.04
25907.0,122.8,49,0.04
25960.0,122.8,49,0.04
26013.0,122.8,49,0.04
26066.0,122.8,49,0.04
26147.0,122.8,50,0.04
26200.0,122.8,50,0.04
26253.0,122.8,50,0.04
26306.0,122.8,50,0.04
26389.0,122.8,50,0.04
26442.0,122.8,50,0.04
26495.0,122.8,51,0.04
26589.0,122.8,51,0.04
26667.0,122.8,51,0.04
26749.0,122.8,51,0.04
26802.0,122.8,51,0.04
26909.0,122.8,52,0.04
26962.0,122.8,52,0.04
27015.0,122.8,52,0.04
27108.0,122.8,52,0.04
27161.0,122.8,52,0.04
27214.0,122.8,53,0.04
27267.0,122.8,53,0.04
27348.0,122.8,53,0.04
27401.0,122.8,53,0.04
27454.0,122.8,53,0.04
27507.0,122.8,53,0.04
27588.0,122.8,54,0.04
27641.0,122.8,54,0.04
27694.0,122.8,54,0.04
27747.0,122.8,54,0.04
27828.0,122.8,54,0.04
27881.0,122.8,54,0.04
27934.0,122.8,55,0.04
27987.0,122.8,55,0.04
28070.0,122.8,55,0.04
28123.0,122.8,55,0.04
28176.0,122.8,55,0.04
28270.0,122.8,55,0.04
28348.0,122.8,55,0.04
28430.0,122.8,55,0.04
28483.0,122.8,55,0.04
28590.0,122.8,55,0.04
28643.0,122.8,55,0.04
28696.0,122.8,55,0.04
28789.0,122.8,55,0.04
28842.0,122.8,55,0.04
28895.0,122.8,56,0.04
28948.0,122.8,56,0.04
29029.0,122.8,56,0.04
29082.0,122.8,56,0.04
29135.0,122.8,56,0.04
29188.0,122.8,56,0.04
29269.0,122.8,57,0.04
29322.0,122.8,57,0.04
29375.0,122.8,57,0.04
29428.0,122.8,57,0.04
29509.0,122.8,57,0.04
29562.0,122.8,57,0.04
29615.0,122.8,58,0.04
29668.0,122.8,58,0.04
29749.0,122.8,58,0.04
29802.0,122.8,58,0.04
29855.0,122.8,58,0.04
29908.0,122.8,58,0.04
29991.0,122.8,59,0.04
30044.0,122.8,59,0.04
30097.0,122.8,59,0.04
30191.0,122.8,59,0.04
30269.0,122.8,59,0.04
30351.0,122.8,59,0.04
30404.0,122.8,60,0.05
30511.0,122.8,60,0.05
30564.0,122.8,60,0.05
30617.0,122.8,60,0.05
30710.0,122.8,60,0.05
30763.0,122.8,61,0.05
30816.0,122.8,61,0.05
30869.0,122.8,61,0.05
30950.0,122.8,61,0.05
31003.0,122.8,61,0.05
31056.0,122.8,61,0.05
31109.0,122.8,62,0.05
31190.0,122.8,62,0.05
31243.0,122.8,62,0.05
31296.0,122.8,62,0.05
31349.0,122.8,62,0.05
31432.0,122.8,62,0.05
31485.0,122.8,63,0.05
31538.0,122.8,63,0.05
31632.0,122.8,63,0.05
31710.0,122.8,63,0.05
31792.0,122.8,63,0.05
31845.0,122.8,63,0.05
31952.0,122.8,64,0.05
32005.0,122.8,64,0.05
32058.0,122.8,64,0.05
32151.0,122.8,64,0.05
32204.0,122.8,64,0.05
32257.0,122.8,65,0.05
32310.0,122.8,65,0.05
32391.0,122.8,65,0.05
32444.0,122.8,65,0.05
32497.0,122.8,65,0.05
32550.0,122.8,65,0.05
32631.0,122.8,66,0.05
32684.0,122.8,66,0.05
32737.0,122.8,66,0.05
32790.0,122.8,66,0.05
32871.0,122.8,66,0.05
32924.0,122.8,66,0.05
32977.0,122.8,66,0.05
33030.0,122.8,66,0.05
33113.0,122.8,67,0.05
33166.0,122.8,67,0.05
33219.0,122.8,67,0.05
33313.0,122.8,67,0.05
33391.0,122.8,67,0.05
33473.0,122.8,67,0.05
33526.0,122.8,68,0.05
33633.0,122.8,68,0.05
33686.0,122.8,68,0.05
33739.0,122.8,68,0.05
33832.0,122.8,68,0.05
33885.0,122.8,69,0.05
33938.0,122.8,69,0.05
33991.0,122.8,69,0.05
34072.0,122.8,69,0.05
34125.0,122.8,69,0.05
34178.0,122.8,69,0.05
34231.0,122.8,69,0.05
34312.0,122.8,69,0.05
34365.0,122.8,70,0.05
34418.0,122.8,70,0.05
34471.0,122.8,70,0.05
34552.0,122.8,70,0.05
34605.0,122.8,70,0.05
34658.0,122.8,70,0.05
34711.0,122.8,71,0.05
34794.0,122.8,71,0.05
34847.0,122.8,71,0.05
34900.0,122.8,71,0.05
34994.0,122.8,71,0.05
35072.0,122.8,72,0.05
35154.0,122.8,72,0.05
35207.0,122.8,72,0.05
35314.0,122.8,72,0.05
35367.0,122.8,72,0.05
35420.0,122.8,73,0.05
35513.0,122.8,73,0.05
35566.0,122.8,73,0.05
35619.0,122.8,73,0.05
35672.0,122.8,73,0.05
35753.0,122.8,73,0.05
35806.0,122.8,74,0.06
35859.0,122.8,74,0.06
35912.0,122.8,74,0.06
35993.0,122.8,74,0.06
36046.0,122.8,74,0.06
36099.0,122.8,74,0.06
36152.0,122.8,74,0.06
36235.0,122.8,75,0.06
36288.0,122.8,75,0.06
36341.0,122.8,75,0.06
36435.0,122.8,75,0.06
36513.0,122.8,75,0.06
36595.0,122.8,76,0.06
36648.0,122.8,76,0.06
36755.0,122.8,76,0.06
36808.0,122.8,76,0.06
36861.0,122.8,76,0.06
36954.0,122.8,77,0.06
37007.0,122.8,77,0.06
37060.0,122.8,77,0.06
37113.0,122.8,77,0.06
37194.0,122.8,77,0.06
37247.0,122.8,77,0.06
37300.0,122.8,77,0.06
37353.0,122.8,78,0.06
37434.0,122.8,78,0.06
37487.0,122.8,78,0.06
37540.0,122.8,78,0.06
37593.0,122.8,78,0.06
37674.0,122.8,78,0.06
37727.0,122.8,78,0.06
37780.0,122.8,79,0.06
37833.0,122.8,79,0.06
37916.0,122.8,79,0.06
37969.0,122.8,79,0.06
38022.0,122.8,79,0.06
38116.0,122.8,79,0.06
38194.0,122.8,80,0.06
38276.0,122.8,80,0.06
38329.0,122.8,80,0.06
38436.0,122.8,80,0.06
38489.0,122.8,80,0.06
38542.0,122.8,80,0.06
38635.0,122.8,81,0.06
38688.0,122.8,81,0.06
38741.0,122.8,81,0.06
38794.0,122.8,81,0.06
38875.0,122.8,81,0.06
38928.0,122.8,82,0.06
38981.0,122.8,82,0.06
39034.0,122.8,82,0.06
39115.0,122.8,82,0.06
39168.0,122.8,82,0.06
39221.0,122.8,82,0.06
39274.0,122.8,82,0.06
39355.0,122.8,83,0.06
39408.0,122.8,83,0.06
39461.0,122.8,83,0.06
39514.0,122.8,83,0.06
39597.0,122.8,83,0.06
39650.0,122.8,83,0.06
39703.0,122.8,84,0.06
39797.0,122.8,84,0.06
39875.0,122.8,84,0.06
39957.0,122.8,84,0.06
40010.0,122.8,85,0.06
40117.0,122.8,85,0.06
40170.0,122.8,85,0.06
40223.0,122.8,85,0.06
40316.0,122.8,85,0.06
40369.0,122.8,85,0.06
40422.0,122.8,86,0.06
40475.0,122.8,86,0.06
40556.0,122.8,86,0.06
40609.0,122.8,86,0.06
40662.0,122.8,86,0.06
40715.0,122.8,86,0.06
40796.0,122.8,87,0.07
40849.0,122.8,87,0.07
40902.0,122.8,87,0.07
40955.0,122.8,87,0.07
41038.0,122.8,87,0.07
41091.0,122.8,87,0.07
41144.0,122.8,87,0.07
41238.0,122.8,87,0.07
41316.0,122.8,87,0.07
41398.0,122.8,88,0.07
41451.0,122.8,88,0.07
41558.0,122.8,88,0.07
41611.0,122.8,88,0.07
41664.0,122.8,88,0.07
41757.0,122.8,89,0.07
41810.0,122.8,89,0.07
41863.0,122.8,89,0.07
41916.0,122.8,89,0.07
41997.0,122.8,89,0.07
42050.0,122.8,89,0.07
42103.0,122.8,90,0.07
42156.0,122.8,90,0.07
42237.0,122.8,90,0.07
42290.0,122.8,90,0.07
42343.0,122.8,90,0.07
42396.0,122.8,90,0.07
42477.0,122.8,91,0.07
42530.0,122.8,91,0.07
42583.0,122.8,91,0.07
42636.0,122.8,91,0.07
42719.0,122.8,91,0.07
42772.0,122.8,91,0.07
42825.0,122.8,91,0.07
42919.0,122.8,91,0.07
42997.0,122.8,92,0.07
43079.0,122.8,92,0.07
43132.0,122.8,92,0.07
43239.0,122.8,92,0.07
43292.0,122.8,92,0.07
43345.0,122.8,92,0.07
43438.0,122.8,92,0.07
43491.0,122.8,92,0.07
43544.0,122.8,92,0.07
43597.0,122.8,93,0.07
43678.0,122.8,93,0.07
43731.0,122.8,93,0.07
43784.0,122.8,93,0.07
43837.0,122.8,93,0.07
43918.0,122.8,94,0.07
43971.0,122.8,94,0.07
44024.0,122.8,94,0.07
44077.0,122.8,94,0.07
44158.0,122.8,94,0.07
44211.0,122.8,94,0.07
44264.0,122.8,95,0.07
44317.0,122.8,95,0.07
44400.0,122.8,95,0.07
44453.0,122.8,95,0.07
44506.0,122.8,95,0.07
44600.0,122.8,95,0.07
44678.0,122.8,96,0.07
44760.0,122.8,96,0.07
44813.0,122.8,96,0.07
44920.0,122.8,96,0.07
44973.0,122.8,96,0.07
45026.0,122.8,96,0.07
45119.0,122.8,96,0.07
45172.0,122.8,97,0.07
45225.0,122.8,97,0.07
45278.0,122.8,97,0.07
45359.0,122.8,97,0.07
45412.0,122.8,97,0.07
45465.0,122.8,97,0.07
45518.0,122.8,97,0.07
45599.0,122.8,97,0.07
45652.0,122.8,97,0.07
45705.0,122.8,98,0.07
45758.0,122.8,98,0.07
45841.0,122.8,98,0.07
45894.0,122.8,98,0.07
45947.0,122.8,98,0.07
46041.0,122.8,98,0.07
46119.0,122.8,98,0.07
46201.0,122.8,98,0.07
